city,state,region,viral_suppression_pct,late_dx_pct,linkage_to_care_pct,idu_prevalence_pct,vl_mean_log10,vl_sd_log10,vl_profile,structural_delay_h,delay_category,pep_mean_efficacy_pct,pep_median_efficacy_pct,pep_ci95_lower_pct,pep_ci95_upper_pct,p_futile_pct,p_below_50pct,estimated_pwid_exposures,new_dx_cases,prevalence_rate,gini,poverty_pct
SanJuan,Puerto Rico,-1,52.1,16.1,63.0,22.152700000000003,3.017,1.715,moderate_burden,24.0,moderate_barrier,76.13,78.35,49.79,89.67,0.0,2.58,0,290.0,627.0,0.547,37.9
Phoenix,Arizona,West,53.6,20.2,81.3,5.837,2.913,1.702,moderate_burden,24.0,low_barrier,76.63,78.89,49.24,89.67,0.0,2.84,111,586.0,374.0,0.455,11.2
Jackson,Mississippi,South,51.8,14.3,76.2,3.2830000000000004,2.958,1.708,moderate_burden,24.0,low_barrier,76.74,79.06,49.58,89.67,0.0,2.66,0,108.0,782.0,0.49,17.4
Houston,Texas,South,57.8,22.1,75.2,4.44,2.782,1.677,moderate_burden,24.0,moderate_barrier,77.9,80.58,52.83,89.67,0.0,1.64,128,1297.0,774.0,0.483,13.6
Denver,Colorado,West,56.8,20.8,85.3,4.0342,2.811,1.683,moderate_burden,24.0,low_barrier,77.94,80.56,51.61,89.67,0.0,1.6,0,273.0,434.0,0.449,8.2
KansasCity,Missouri,Midwest,59.4,16.7,78.9,4.577,2.734,1.665,moderate_burden,24.0,low_barrier,78.07,80.67,52.7,89.67,0.0,1.54,0,121.0,500.0,0.451,10.0
MiamiDadeCO,Florida,South,59.7,18.2,78.4,3.5775,2.722,1.661,moderate_burden,24.0,low_barrier,78.28,80.71,53.64,89.67,0.0,1.4,0,1007.0,1239.0,0.508,13.1
StLouis,Missouri,Midwest,61.0,20.4,83.6,3.2775999999999996,2.682,1.65,moderate_burden,24.0,low_barrier,78.38,81.02,52.4,89.67,0.0,1.56,0,203.0,569.0,0.466,10.3
NewYork,New York,Northeast,62.1,21.2,79.6,10.3672,2.674,1.648,moderate_burden,24.0,low_barrier,78.55,81.33,52.86,89.67,0.0,1.52,102,1603.0,1356.0,0.514,12.4
HamptonRoads,Virginia,South,63.0,20.1,73.9,6.1592,2.632,1.634,moderate_burden,24.0,low_barrier,78.71,81.33,53.88,89.67,0.0,1.3,80,270.0,521.0,0.446,10.9
ElPaso,Texas,South,61.6,17.7,82.3,3.3626,2.664,1.645,moderate_burden,24.0,low_barrier,78.72,81.2,53.62,89.67,0.0,1.28,0,120.0,416.0,0.465,18.9
Bridgeport,Connecticut,Northeast,67.6,18.7,81.3,16.6284,2.532,1.597,moderate_burden,24.0,low_barrier,78.95,81.5,54.91,89.67,0.0,0.8,0,64.0,331.0,0.544,9.4
OrangeCO,California,West,64.3,23.3,85.9,5.877599999999999,2.592,1.62,moderate_burden,24.0,low_barrier,79.0,81.55,54.79,89.67,0.0,1.06,84,258.0,273.0,0.491,12.6
SanAntonio,Texas,South,64.5,19.9,74.2,4.2632,2.58,1.616,moderate_burden,24.0,low_barrier,79.06,81.37,55.45,89.67,0.0,1.0,54,402.0,411.0,0.46,13.4
PalmBeachCO,Florida,South,64.8,25.9,75.9,4.994400000000001,2.574,1.614,moderate_burden,24.0,moderate_barrier,79.13,81.56,55.01,89.67,0.0,0.74,0,296.0,677.0,0.508,13.1
Dallas,Texas,South,64.3,20.0,73.9,2.5298999999999996,2.58,1.616,moderate_burden,24.0,low_barrier,79.24,81.77,55.11,89.67,0.0,0.84,99,910.0,927.0,0.464,10.5
Richmond,Virginia,South,65.2,21.9,75.8,7.119,2.57,1.612,moderate_burden,24.0,low_barrier,79.24,81.72,55.07,89.67,0.0,1.12,0,188.0,504.0,0.461,10.0
Jacksonville,Florida,South,66.2,19.8,72.6,6.3096000000000005,2.537,1.599,moderate_burden,24.0,low_barrier,79.41,81.98,54.9,89.67,0.0,1.02,70,327.0,623.0,0.465,12.1
Raleigh,North Carolina,South,65.5,24.1,77.3,3.83,2.549,1.604,moderate_burden,24.0,moderate_barrier,79.5,82.26,55.1,89.67,0.0,0.92,0,148.0,419.0,0.449,8.6
Hartford,Connecticut,Northeast,69.0,37.2,82.1,23.4212,2.514,1.59,moderate_burden,24.0,high_barrier,79.5,82.23,54.87,89.67,0.0,1.1,0,70.0,340.0,0.467,9.8
Charlotte,North Carolina,South,66.3,20.0,79.3,3.6025,2.524,1.594,moderate_burden,24.0,low_barrier,79.52,82.14,55.44,89.67,0.0,0.82,0,283.0,796.0,0.476,10.5
Charleston,South Carolina,South,66.9,22.8,73.4,4.1681,2.508,1.588,moderate_burden,24.0,moderate_barrier,79.52,82.1,54.88,89.67,0.0,1.04,0,81.0,457.0,0.479,11.2
Atlanta,Georgia,South,65.4,19.4,77.9,2.9407999999999994,2.549,1.604,moderate_burden,24.0,low_barrier,79.56,81.98,55.28,89.67,0.0,1.04,110,1730.0,875.0,0.468,11.0
LosAngeles,California,West,65.2,19.0,79.9,3.274,2.556,1.607,moderate_burden,24.0,low_barrier,79.63,82.43,55.18,89.67,0.0,0.8,327,1587.0,588.0,0.491,12.6
FortWorth,Texas,South,67.5,20.0,76.1,4.977,2.493,1.581,low_burden,24.0,low_barrier,79.75,82.35,55.96,89.67,0.0,0.88,89,314.0,422.0,0.464,10.5
Austin,Texas,South,67.8,20.6,86.4,3.3693999999999997,2.478,1.575,low_burden,24.0,low_barrier,79.82,82.69,56.0,89.67,0.0,0.8,0,338.0,423.0,0.461,9.9
BrowardCO,Florida,South,69.7,18.7,75.5,3.8604000000000003,2.423,1.549,low_burden,24.0,low_barrier,80.1,82.6,56.93,89.67,0.0,0.54,0,582.0,1309.0,0.508,13.1
Orlando,Florida,South,69.7,20.7,79.0,6.1561,2.431,1.553,low_burden,24.0,low_barrier,80.34,82.97,57.42,89.67,0.0,0.64,53,618.0,652.0,0.462,11.8
NewOrleans,Louisiana,South,71.0,17.5,80.1,5.7879000000000005,2.391,1.533,low_burden,24.0,low_barrier,80.39,82.92,57.29,89.67,0.0,0.6,89,246.0,780.0,0.509,18.3
Tampa,Florida,South,72.0,20.0,76.3,6.359999999999999,2.363,1.519,low_burden,24.0,low_barrier,80.65,83.14,58.05,89.67,0.0,0.4,131,491.0,560.0,0.479,12.2
Columbia,South Carolina,South,72.0,28.4,89.0,5.722599999999999,2.361,1.517,low_burden,24.0,moderate_barrier,80.83,83.56,58.15,89.67,0.0,0.4,0,116.0,671.0,0.467,14.7
NewHaven,Connecticut,Northeast,75.1,28.3,90.0,21.6096,2.325,1.498,low_burden,24.0,moderate_barrier,80.93,83.53,57.9,89.67,0.0,0.44,0,71.0,454.0,0.478,11.6
